0.7,0.0,0,26082.869,2000
0.7,0.0,50,26113.766,2000
0.7,0.0,100,26135.899,2000
0.7,0.0,150,26173.406,2000
0.7,0.0,200,26210.8135,2000
0.7,0.0,250,26248.4105,2000
0.7,0.0,300,26272.401,2000
0.7,0.0,350,26314.3895,2000
0.7,0.0,400,26396.8045,2000
0.7,0.0,450,26433.444,2000
0.7,0.0,500,26456.7635,2000
0.7,0.0,550,26490.2765,2000
0.7,0.0,600,27368.0,2000
0.7,0.0,650,27643.6165,2000
0.7,0.0,700,62397.943,2000
0.7,0.0,750,62397.128,2000
0.7,0.0,800,62397.694,2000
0.7,0.0,850,62397.685,2000
0.7,0.0,900,62397.045,2000
0.7,0.0,950,62397.415,2000
